"gene_names","var_zt","var_ict"
"VSIG1",0.7309,0.4888
"PLD3",1.1207,1.0353
"TRMT1",1.2022,1.1257
"RFC1",0.7616,0.5725
"HK3",1.3148,1.0991
"SNX13",1.1856,1.1899
"TMEM222",1.6262,1.6167
"NFYB",1.6499,1.3261
"CHCHD3",1.358,1.1478
"LILRA1",0.609,0.4623
"ENSA",1.4703,1.4142
"EVL",0.5025,0.3677
"PUF60",1.8179,1.8489
"CHST7",0.4602,0.392
"ZNF217",1.8252,1.6795
"GUK1",0.9455,0.793
"DHX40",1.5459,1.4656
"NBR1",1.476,1.4842
"PSMB9",0.9133,0.9718
"CSNK1A1",1.3329,1.4001
"ATP5G3",1.1326,0.8303
"ABI1",0.9565,1.0827
"GUSB",1.8503,1.8786
"PLCXD1",1.5737,1.5298
"INPP4A",1.134,0.8951
"CD320",1.5982,1.6867
"RAE1",0.8062,0.7538
"DUSP7",1.8274,1.9516
"PLSCR3",1.3075,1.2109
"STX6",1.2847,1.2364
"TRIOBP",0.9892,0.8084
"GOLT1B",1.3534,1.1981
"TARBP2",1.2801,1.1776
"PRKAG1",1.8504,1.7651
"CTSW",0.7769,0.8477
"UVRAG",1.5002,1.6493
"PSMD1",0.9418,0.9126
"CHORDC1",1.4411,1.2789
"FIS1",1.3184,1.1986
"ZNF32",1.3917,1.1519
"PRKAA1",0.8415,0.9238
"VPS13B",1.4821,1.2475
"SERTAD1",0.5959,0.6366
"MAVS",1.7137,1.5365
"MOCS2",1.1368,0.8265
"ADSS",0.5255,0.355
"LAGE3",0.847,0.7108
"TOMM34",1.7686,1.8378
"EGLN1",0.6076,0.3732
"SLC22A1",0.8295,0.5871
"LRRK2",0.8973,0.6048
"BIRC6",1.8357,1.6349
"DDX3X",1.1428,0.9009
"IRF8",1.4738,1.4984
"UPF2",1.4001,1.2285
"BACE2",1.704,1.5954
"KIAA0232",0.8898,0.9575
"KPNA3",1.7484,1.8643
"SIK3",1.2753,1.0397
"TNPO3",1.342,0.9635
"ATG5",1.2398,0.9824
"EIF4G1",1.2722,1.0899
"PRDM4",1.4356,1.4182
"CELF1",1.2608,1.1672
"ZDHHC18",0.6344,0.4095
"LAX1",0.5545,0.5581
"ZNF101",0.647,0.4235
"ZFP90",1.111,0.8428
"UPF3B",1.0079,0.8441
"KDM6B",0.9377,0.7722
"RNF41",1.2314,1.2304
"ZNF324",1.4829,1.4694
"HOOK2",1.452,1.4855
"TMED7",1.4589,1.2462
"DDHD2",0.8611,0.6516
"TARBP1",0.7644,0.5478
"PRPF40A",1.1457,0.9561
"RRP12",1.647,1.3067
"HSPA14",0.9419,0.6475
"PLAUR",0.8963,0.5952
"C3orf38",1.432,1.199
"CBR1",1.6204,1.37
"IL32",1.5687,1.3592
"P2RY14",1.439,1.3884
"PDE8A",1.8525,1.8289
"SMG1",1.0956,1.1111
"ATP2B1",1.5975,1.7221
"MAGT1",1.2055,1.0865
"C1orf228",0.5685,0.4833
"DHRSX",0.5663,0.3734
"ZNF182",1.2408,1.148
"PSRC1",0.6175,0.5616
"KRCC1",1.5717,1.3953
"SAR1A",1.0944,0.9613
"METRNL",0.5235,0.4625
"MAP2K4",1.6856,1.6373
"PLAA",1.4241,1.1504
"OSGIN2",0.7675,0.5799
"CYHR1",1.3367,1.3714
"SEPT5",0.8875,0.6497
"GALNT3",1.2586,1.4092
"EML4",0.4643,0.2954
"MTDH",0.9732,0.7982
"SSB",0.9824,0.6816
"CCDC47",1.4218,1.6356
"ELP3",0.996,0.997
"XIAP",1.8328,1.8769
"ZNF76",1.3954,1.3702
"ETNK1",1.563,1.312
"INO80C",1.3486,1.159
"ZC3H11A",1.2664,1.0937
"SLFN13",1.5101,1.5199
"RANBP3",1.6586,1.728
"TMEM186",0.9133,0.8543
"SPATS2L",1.2844,1.3441
"RPL32P3",1.526,1.4099
"GLTSCR2",0.824,0.6931
"HCCS",1.4804,1.767
"CYBB",1.386,1.4354
"NARS",1.4052,1.0662
"BIN1",0.9209,0.9553
"DENND1C",1.3118,1.2997
"PSMA1",1.437,1.0411
"TOP2B",0.6952,0.4837
"ZFR",1.446,1.3114
"MTIF3",1.0079,0.6506
"EIF3D",0.849,0.6127
"CCR7",0.3052,0.1561
"BANK1",0.8524,0.5904
"PIK3R5",1.2135,0.8885
"PRPF3",1.6972,1.6584
"HEATR5B",0.6859,0.5829
"MME",0.5818,0.3992
"IDS",0.6105,0.41
"MON1B",0.926,0.6798
"FAM46C",1.6394,1.4656
"TRABD",1.4963,1.2388
"IKBIP",0.6389,0.5289
"LMBR1",1.7382,1.7863
"GLG1",0.7808,1.0346
"ZCCHC17",1.3011,1.0675
"PARP14",1.3491,1.061
"TTLL4",0.8105,0.4815
"CLPX",0.5955,0.5181
"THRAP3",1.5533,1.7002
"IBTK",0.7223,0.5188
"NUP210",1.4215,1.5041
"SEC16A",1.7587,1.7884
"RPS27L",1.3265,1.0893
"CCDC9",1.5081,1.1696
"ISG20L2",1.1753,1.0467
"TCERG1",0.9151,0.6567
"RC3H2",1.6939,1.8241
"ASGR2",1.3419,1.4233
"MRI1",1.4397,1.1954
"INPP5A",0.8097,0.5599
"CEP68",0.3234,0.2201
"CNOT7",1.1601,0.8403
"GOLM1",0.8037,0.6499
"APPBP2",1.0139,0.9886
"ATP5S",0.5796,0.447
"SLC35A1",1.5447,1.4173
"GLS",0.9012,0.6949
"PPP1R3D",0.7665,0.5917
"APOBEC3G",1.656,1.6379
"TBX19",1.0343,1.026
"RBMXL1",1.2495,1.1925
"MR1",1.0258,0.9319
"C1orf109",1.2973,1.2927
"FYCO1",1.1912,1.017
"SARNP",1.9183,1.5671
"ACAD9",0.6726,0.6901
"ZFYVE27",1.2129,1.1162
"RNF216",1.7275,1.5974
"MT1F",1.2213,0.9408
"DHX15",1.0872,1.0202
"C9orf72",1.1035,0.8103
"VPS13A",1.0866,0.8874
"STAT4",1.5703,1.3855
"MYO15B",1.6169,1.5852
"MMADHC",1.5967,1.4593
"IPO7",0.9484,0.8802
"BRD7",0.495,0.3008
"MAP4K4",0.9192,0.5986
"IL16",0.7577,0.6838
"MED31",1.3017,1.5132
"UNG",1.4134,1.3081
"LRRFIP1",1.3396,1.2165
"RBM5",1.7109,1.6015
"AHSA2",0.9251,0.6739
"CAPG",1.6047,1.4498
"IFI35",1.0277,0.8081
"SEPT2",1.5755,1.5167
"PSMB1",1.2772,1.0414
"ZNF506",1.4927,1.4818
"WDFY4",1.3377,1.2526
"RAP1GDS1",1.1813,1.1039
"PGK1",0.9701,0.8385
"ORMDL1",0.9344,0.6046
"CCT6A",1.0411,0.8295
"SUN2",1.1787,1.1099
"SH3YL1",0.5024,0.3775
"YEATS2",1.2994,1.2027
"TSSC1",0.5479,0.444
"VPS72",1.8586,1.773
"GBP4",1.7129,1.8379
"DYRK1B",0.7862,0.7298
"PIK3R4",1.1894,1.2419
"CD81",1.3111,1.2981
"UBE2F",1.2289,1.278
"ABHD11",1.4116,1.3119
"PLCG2",0.7112,0.5374
"SLC35B2",1.0724,0.8873
"TAF1D",0.9918,0.7449
"QKI",0.8647,0.7357
"REV1",0.7348,0.6105
"CDC42EP3",1.5845,1.593
"SH3BP5L",0.9985,0.7527
"CAPZB",0.9898,0.8719
"C21orf33",1.1147,0.996
"LCMT2",0.9432,0.6976
"SPOP",1.7066,1.698
"SON",1.3712,1.5363
"KLHL21",0.6134,0.4232
"GOPC",1.04,0.7482
"AP2M1",1.2917,1.0823
"COPS4",1.0394,0.7755
"ZFYVE19",1.2415,1.4452
"SMAD7",0.8532,0.87
"FOXO3",0.9575,0.5733
"LEMD3",1.3605,1.1044
"DUSP3",1.4337,1.2584
"ZNF585A",1.1124,0.8735
"IRAK4",1.6112,1.5861
"NFYA",1.0709,0.9197
"PIK3R2",1.3019,1.5271
"ZBTB5",1.0108,0.7736
"FAM160B1",0.9146,0.7536
"C19orf25",0.8855,0.8262
"SMCHD1",0.5717,0.4682
"C9orf64",1.1989,1.0051
"TAPBPL",1.2217,1.1204
"RTN3",0.594,0.3573
"ANKMY2",1.5509,1.369
"BNIP3L",1.4073,1.3603
"METTL14",1.3644,1.0234
"ICMT",1.7298,1.7368
"NUTF2",1.8914,1.843
"SRPRB",0.7908,0.6279
"PSMD6",1.533,1.2949
"IDH3B",1.7974,1.7681
"SCLT1",1.6572,1.8167
"SSFA2",0.8461,0.7084
"MXD1",0.745,0.5342
"VAPA",1.5631,1.7379
"TP53I13",1.5226,1.3355
"DONSON",1.7712,1.6885
"SLC25A36",0.8314,0.5598
"C8orf58",1.1354,1.1381
"PCGF5",1.3185,1.1143
"AP1S2",1.3127,1.0557
"USP33",1.8839,1.7216
"ERI1",1.3767,1.3332
"RPL13A",0.9826,0.7825
"FLT3LG",0.8282,0.664
"PPIP5K2",1.4104,1.1055
"DHX29",1.1654,1.1549
"SKAP2",0.7238,0.577
"ARMC8",1.1036,0.8503
"SEC23IP",0.8604,0.6883
"TSG101",1.5144,1.4362
"ASAP1",1.3022,0.9852
"TNFAIP2",1.1418,0.9819
"OR2W3",1.0964,0.9221
"MAPK13",1.4381,1.2279
"TPM4",1.5831,1.5076
"DOK1",1.0457,0.8368
"H2AFJ",1.5622,1.4957
"PLCB2",0.9967,0.7142
"CSNK2B",1.2471,1.1335
"ASAH1",0.6812,0.4922
"SLC30A9",1.1714,1.0291
"MVD",1.5,1.4207
"HNRNPA2B1",0.9926,0.8393
"HSPH1",0.9725,0.7626
"TGFBR1",1.3503,0.9657
"NFYC",1.0254,0.8828
"MYO5A",1.4373,1.2798
"BCCIP",1.1157,0.7966
"GPBP1",1.4486,1.1805
"ADD3",1.0918,0.7878
"ZNF91",0.903,0.8293
"RALA",0.7824,0.4801
"EYA3",1.9453,1.66
"PRPF4B",0.8492,0.7623
"RCOR3",1.708,1.6823
"LYAR",0.9441,0.69
"ANKRD11",1.8214,1.8212
"PPP1CB",1.5595,1.5061
"LYN",1.1416,0.9456
"PHKB",1.1232,1.048
"PCID2",1.0961,0.9182
"RFWD3",1.0669,1.1977
"HIGD1A",1.5962,1.4963
"TNK2",1.1492,0.9032
"ATP11B",1.0033,0.8366
"ADIPOR2",0.7246,0.5895
"FBXO33",1.3906,1.3792
"MLX",1.2402,1.1467
"CSRNP2",1.7623,1.838
"C11orf68",1.0026,0.7913
"CHIC2",0.8181,0.8033
"SMARCD3",1.0442,0.864
"TNFRSF4",1.1281,1.1224
"KLRB1",1.6793,1.3803
"TOMM40",1.3046,1.2407
"ADAP2",0.9028,1.0253
"KLF3",1.3721,1.3193
"RUNX2",1.6297,1.7917
"SULT1B1",0.8389,0.7901
"LTV1",1.1211,0.888
"NR3C1",1.3456,1.2038
"CPD",0.6138,0.4169
"ACAD8",1.8473,1.7627
"SH3GLB2",1.2417,1.2093
"TMEM143",1.6447,1.367
"FOS",0.6274,0.4797
"UBE2J1",1.4865,1.3939
"CPNE1",1.1812,1.0288
"EP400",0.9142,1.0606
"GPN3",1.3558,1.1
"CD6",1.2932,1.3937
"UGGT1",1.1866,0.8216
"TNFRSF14",1.2518,1.1651
"TRIM41",0.474,0.3973
"PHF2",1.4604,1.5146
"LPGAT1",0.8856,0.7281
